Back,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,
174,Gambia,0.611,,153,,597,,63.2,,8.6,,29.9,,43.2,,48.9,,66.3,
175,Ethiopia,0.520,,129,,401,,69.2,,39.5,,9.1,,20.1,,72.3,,84.7,
176,Eritrea,..,,..,,480,,64.4,,22.0,p,..,,..,,70.2,,83.6,
177,Guinea-Bissau,0.627,,159,,667,,87.5,,13.7,,9.8,,22.8,,63.9,,78.4,
178,Liberia,0.648,,164,,661,,123.4,,9.7,,20.8,,39.2,,69.8,,79.7,
179,Congo (Democratic Republic of the),0.601,,151,,473,,109.0,,14.3,,40.3,h,69.1,h,61.2,,69.1,
180,Afghanistan,0.678,,167,,638,,82.6,,27.2,,6.4,,14.9,,14.8,,66.5,
181,Sierra Leone,0.633,,162,,"1,120",,100.9,,12.3,,34.7,d,51.5,d,56.1,,55.9,
182,Guinea,0.621,,157,,576,,114.8,,16.7,t,7.2,c,19.7,c,62.1,,62.2,
183,Yemen,0.820,,170,,164,,54.4,,0.3,,22.4,,37.5,,6.0,,67.6,
184,Burkina Faso,0.621,,157,,320,,110.5,,6.3,,11.3,c,17.1,c,57.2,,72.7,
185,Mozambique,0.537,,136,,289,,165.8,,42.4,,10.8,c,20.2,c,77.7,,78.9,
186,Mali,0.613,,155,,562,,150.1,,27.3,,8.0,,15.5,,57.7,,79.7,
187,Burundi,0.505,,127,,548,,53.6,,38.9,,7.8,c,13.0,c,79.0,,77.4,
188,Central African Republic,0.672,,166,,829,,160.5,,12.9,,13.9,,31.6,,63.3,,79.5,
189,Niger,0.611,,153,,509,,170.5,,25.9,,9.2,d,15.2,d,61.7,,84.3,
190,Chad,0.652,,165,,"1,140",,138.3,,32.3,,7.7,s,24.4,s,46.9,,69.9,
191,South Sudan,0.587,,150,,"1,150",,99.2,,32.3,,26.5,,36.4,,70.4,,73.6,
,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,89,,2.3,,17.6,,..,,..,,77.2,,86.1,
,Monaco,..,,..,,..,,7.2,,33.3,,..,,..,,..,,..,
,Nauru,..,,..,,..,,72.5,,10.5,,..,,..,,..,,..,
,Somalia,..,,..,,829,,118.0,,24.6,,..,,..,,20.9,,47.0,
,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,
,Very high human development,0.155,,—,,15,,14.1,,29.1,,87.0,,89.4,,52.6,,68.4,
,High human development,0.329,,—,,62,,28.0,,25.8,,72.7,,78.0,,53.6,,73.5,
,Medium human development,0.494,,—,,175,,38.1,,21.8,,44.0,,54.2,,28.8,,71.3,
,Low human development,0.577,,—,,499,,89.5,,24.3,,22.8,,34.1,,49.3,,73.2,
,,,,,,,,,,,,,,,,,,,
,Developing countries,0.487,,—,,247,,46.5,,23.9,,56.9,,64.7,,44.4,,72.8,
,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,
,Arab States,0.536,,—,,150,,45.3,,18.3,,53.8,,60.4,,19.3,,69.5,
,East Asia and the Pacific,0.337,,—,,82,,21.6,,20.9,,71.4,,78.2,,59.7,,75.2,
,Europe and Central Asia,0.227,,—,,20,,20.1,,26.1,,83.4,,89.7,,42.9,,67.0,
,Latin America and the Caribbean,0.381,,—,,75,,53.4,,33.2,,63.2,,63.2,,48.6,,72.7,
,South Asia,0.508,,—,,153,,28.9,,17.6,,42.2,,52.8,,21.6,,71.6,
,Sub-Saharan Africa,0.569,,—,,536,,100.9,,25.7,,31.1,,44.3,,62.1,,72.3,
,,,,,,,,,,,,,,,,,,,
,Least developed countries,0.562,,—,,417,,93.7,,24.7,,27.5,,38.7,,54.6,,75.8,
,Small island developing states,0.461,,—,,212,,50.9,,26.7,,62.1,,65.7,,50.4,,68.7,
,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.185,,—,,18,,19.2,,32.4,,86.7,,89.1,,51.8,,67.8,
,,,,,,,,,,,,,,,,,,,
,World,0.465,,—,,225,,42.5,,25.9,,64.2,,70.3,,46.2,,71.7,
,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,
,a. Estimates modelled by the International Labour Organization.,,,,,,,,,,,,,,,,,,
,b. Data refer to 2021 or the most recent year available.,,,,,,,,,,,,,,,,,,
,c. Updated by HDRO based on data from UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,
,d. Updated by HDRO based on data from Barro and Lee (2018) and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,
,e. Updated by HDRO based on data from OECD (2022) and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,
,"f. HDRO estimate based on data from Robert Barro and Jong-Wha Lee, ICF Macro Demographic and Health Surveys, the Organisation for Economic Co-operation and Development, United Nations Children’s Fund (UNICEF) Multiple Indicator Cluster Surveys and the United Nations Educational, Scientific and Cultural Organization Institute for Statistics.",,,,,,,,,,,,,,,,,,
,"g. In calculating the Gender Inequality Index, a value of 0.1 percent was used.",,,,,,,,,,,,,,,,,,
,h. Updated by HDRO based on data from UNESCO Institute for Statistics (2022) and UNICEF Multiple Indicator Cluster Surveys for various years.,,,,,,,,,,,,,,,,,,
,i. Updated by HDRO using projections from Barro and Lee (2018).,,,,,,,,,,,,,,,,,,
,j. Excludes the 36 special rotating delegates appointed on an ad hoc basis.,,,,,,,,,,,,,,,,,,
,k. Based on cross-country regression.,,,,,,,,,,,,,,,,,,
,l. Updated by HDRO based on data from Barro and Lee (2018) and ICF Macro Demographic and Health Surveys for various years.,,,,,,,,,,,,,,,,,,
,"m. Updated by HDRO based on data from the United Nations Educational, Scientific and Cultural Organization Institute for Statistics for various years.",,,,,,,,,,,,,,,,,,
,"n. A special update by WHO, UNICEF, UNFPA, World Bank Group and United Nations Population Division (2019), communicated to HDRO on 7 September 2020.",,,,,,,,,,,,,,,,,,
,o. Based on projections from Barro and Lee (2018).,,,,,,,,,,,,,,,,,,
,p. Refers to 2019.,,,,,,,,,,,,,,,,,,
,q. Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for various years.,,,,,,,,,,,,,,,,,,
,r. Refers to 2018.,,,,,,,,,,,,,,,,,,
,s. Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for various years and UNESCO Institute for Statistics (2022).,,,,,,,,,,,,,,,,,,
,t. Refers to 2020.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,
,"Gender Inequality Index: A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. See Technical note 4 at http://hdr.undp.org/sites/default/files/hdr2022_technical_notes.pdf for details on how the Gender Inequality Index is calculated.",,,,,,,,,,,,,,,,,,
,"Maternal mortality ratio: Number of deaths due to pregnancy-related causes per 100,000 live births.",,,,,,,,,,,,,,,,,,
,"Adolescent birth rate: Number of births to women ages 15–19 per 1,000 women ages 15–19.",,,,,,,,,,,,,,,,,,
,"Share of seats in parliament: Proportion of seats held by women in the national parliament expressed as a percentage of total seats. For countries with a bicameral legislative system, the share of seats is calculated based on both houses.",,,,,,,,,,,,,,,,,,
,Population with at least some secondary education: Percentage of the population ages 25 and older that has reached (but not necessarily completed) a secondary level of education.,,,,,,,,,,,,,,,,,,
,"Labour force participation rate: Proportion of the working-age population (ages 15 and older) that engages in the labour market, either by working or actively looking for work, expressed as a percentage of the working-age population.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,
,Column 1: HDRO calculations based on data in columns 3–9.,,,,,,,,,,,,,,,,,,
,Column 2: Calculated based on data in column 1.,,,,,,,,,,,,,,,,,,
,"Column 3: WHO, UNICEF, UNFPA, World Bank Group and United Nations Population Division (2019).",,,,,,,,,,,,,,,,,,
,Column 4: UNDESA (2022a).,,,,,,,,,,,,,,,,,,
,Column 5: IPU (2022).,,,,,,,,,,,,,,,,,,
,"Columns 6 and 7: Barro and Lee (2018), ICF Macro Demographic and Health Surveys, OECD (2022), UNESCO Institute for Statistics (2022) and UNICEF Multiple Indicator Cluster Surveys.",,,,,,,,,,,,,,,,,,
,Columns 8 and 9: ILO (2022).,,,,,,,,,,,,,,,,,,
